tasks.thisRepN,tasks.thisTrialN,tasks.thisN,tasks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrText.started,instrText.stopped,instrImg.started,instrImg.stopped,corrAns,colorName,trialCircle.started,trialCircle.stopped,trialResp.keys,trialResp.corr,trialResp.started,trialResp.stopped,trialText.started,trialText.stopped,trialCount.started,trialCount.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,11.336206900014076,None,11.336206900014076,None,space,blue,11.417297600011807,12.168175300001167,None,0,11.417297600011807,None,11.417297600011807,12.168175300001167,11.417297600011807,None,a,001,2020_Aug_01_1448,goNogoAlpha5a,2020.1.3,60.02210014484237,
0,0,0,0,1,0,1,0,,,,,space,blue,12.41276499995729,13.16789839998819,None,0,12.41276499995729,None,12.41276499995729,13.16789839998819,12.41276499995729,None,a,001,2020_Aug_01_1448,goNogoAlpha5a,2020.1.3,60.02210014484237,
0,0,0,0,2,0,2,0,,,,,space,blue,13.410001999989618,14.167778500006534,None,0,13.410001999989618,None,13.410001999989618,14.167778500006534,13.410001999989618,None,a,001,2020_Aug_01_1448,goNogoAlpha5a,2020.1.3,60.02210014484237,
0,0,0,0,3,0,3,0,,,,,space,blue,14.408969499985687,15.167406799970195,None,0,14.408969499985687,None,14.408969499985687,15.167406799970195,14.408969499985687,None,a,001,2020_Aug_01_1448,goNogoAlpha5a,2020.1.3,60.02210014484237,
0,0,0,0,4,0,4,0,,,,,,orange,15.420051699969918,16.18383759999415,None,0,15.420051699969918,None,15.420051699969918,16.18383759999415,15.420051699969918,None,a,001,2020_Aug_01_1448,goNogoAlpha5a,2020.1.3,60.02210014484237,
0,0,0,0,5,0,5,0,,,,,space,blue,16.411012900003698,17.166943899996113,None,0,16.411012900003698,None,16.411012900003698,17.166943899996113,16.411012900003698,None,a,001,2020_Aug_01_1448,goNogoAlpha5a,2020.1.3,60.02210014484237,
0,0,0,0,6,0,6,0,,,,,space,blue,17.406951199984178,18.16672959999414,None,0,17.406951199984178,None,17.406951199984178,18.16672959999414,17.406951199984178,None,a,001,2020_Aug_01_1448,goNogoAlpha5a,2020.1.3,60.02210014484237,
0,0,0,0,7,0,7,0,,,,,space,blue,18.406705199973658,19.16646869998658,None,0,18.406705199973658,None,18.406705199973658,19.16646869998658,18.406705199973658,None,a,001,2020_Aug_01_1448,goNogoAlpha5a,2020.1.3,60.02210014484237,
0,0,0,0,8,0,8,0,,,,,space,blue,19.411432099994272,20.166181400010828,None,0,19.411432099994272,None,19.411432099994272,20.166181400010828,19.411432099994272,None,a,001,2020_Aug_01_1448,goNogoAlpha5a,2020.1.3,60.02210014484237,
0,0,0,0,9,0,9,0,,,,,space,blue,20.40868250001222,21.165938299964182,None,0,20.40868250001222,None,20.40868250001222,21.165938299964182,20.40868250001222,None,a,001,2020_Aug_01_1448,goNogoAlpha5a,2020.1.3,60.02210014484237,
0,0,0,0,10,0,10,0,,,,,space,blue,21.409467899997253,22.165729200001806,None,0,21.409467899997253,None,21.409467899997253,22.165729200001806,21.409467899997253,None,a,001,2020_Aug_01_1448,goNogoAlpha5a,2020.1.3,60.02210014484237,
0,0,0,0,11,0,11,0,,,,,space,blue,22.403820000006817,23.16543759999331,None,0,22.403820000006817,None,22.403820000006817,23.16543759999331,22.403820000006817,None,a,001,2020_Aug_01_1448,goNogoAlpha5a,2020.1.3,60.02210014484237,
0,0,0,0,12,0,12,0,,,,,space,blue,23.406816500006244,24.16597589995945,None,0,23.406816500006244,None,23.406816500006244,24.16597589995945,23.406816500006244,None,a,001,2020_Aug_01_1448,goNogoAlpha5a,2020.1.3,60.02210014484237,
0,0,0,0,13,0,13,0,,,,,space,blue,24.40633249998791,25.164932599989697,None,0,24.40633249998791,None,24.40633249998791,25.164932599989697,24.40633249998791,None,a,001,2020_Aug_01_1448,goNogoAlpha5a,2020.1.3,60.02210014484237,
0,0,0,0,14,0,14,0,,,,,space,blue,25.40617969998857,26.164758300001267,None,0,25.40617969998857,None,25.40617969998857,26.164758300001267,25.40617969998857,None,a,001,2020_Aug_01_1448,goNogoAlpha5a,2020.1.3,60.02210014484237,
0,0,0,0,15,0,15,0,,,,,space,blue,26.407026599976234,27.164467800001148,None,0,26.407026599976234,None,26.407026599976234,27.164467800001148,26.407026599976234,None,a,001,2020_Aug_01_1448,goNogoAlpha5a,2020.1.3,60.02210014484237,
0,0,0,0,16,0,16,0,,,,,space,blue,27.40572029998293,28.164211899973452,None,0,27.40572029998293,None,27.40572029998293,28.164211899973452,27.40572029998293,None,a,001,2020_Aug_01_1448,goNogoAlpha5a,2020.1.3,60.02210014484237,
0,0,0,0,17,0,17,0,,,,,space,blue,28.40558449999662,29.163833900005557,None,0,28.40558449999662,None,28.40558449999662,29.163833900005557,28.40558449999662,None,a,001,2020_Aug_01_1448,goNogoAlpha5a,2020.1.3,60.02210014484237,
0,0,0,0,18,0,18,0,,,,,space,blue,29.405068999971263,30.163705999962986,None,0,29.405068999971263,None,29.405068999971263,30.163705999962986,29.405068999971263,None,a,001,2020_Aug_01_1448,goNogoAlpha5a,2020.1.3,60.02210014484237,
0,0,0,0,19,0,19,0,,,,,space,blue,30.40592980000656,31.1634487999836,None,0,30.40592980000656,None,30.40592980000656,31.1634487999836,30.40592980000656,None,a,001,2020_Aug_01_1448,goNogoAlpha5a,2020.1.3,60.02210014484237,
0,0,0,0,20,0,20,0,,,,,space,blue,31.404750399990007,32.163166899990756,None,0,31.404750399990007,None,31.404750399990007,32.163166899990756,31.404750399990007,None,a,001,2020_Aug_01_1448,goNogoAlpha5a,2020.1.3,60.02210014484237,
0,0,0,0,21,0,21,0,,,,,space,blue,32.40444789995672,33.16291979997186,None,0,32.40444789995672,None,32.40444789995672,33.16291979997186,32.40444789995672,None,a,001,2020_Aug_01_1448,goNogoAlpha5a,2020.1.3,60.02210014484237,
0,0,0,0,22,0,22,0,,,,,space,blue,33.402104899985716,34.16277809999883,None,0,33.402104899985716,None,33.402104899985716,34.16277809999883,33.402104899985716,None,a,001,2020_Aug_01_1448,goNogoAlpha5a,2020.1.3,60.02210014484237,
0,0,0,0,23,0,23,0,,,,,space,blue,34.40391220001038,35.16302779997932,None,0,34.40391220001038,None,34.40391220001038,35.16302779997932,34.40391220001038,None,a,001,2020_Aug_01_1448,goNogoAlpha5a,2020.1.3,60.02210014484237,
